partner_code,car_number,maker,model_name,sub_model,trim_name,options,ext_color,int_color,year,mileage,fuel_type,policy_code,vehicle_status,product_type,vehicle_class,vehicle_price,first_registration_date,partner_memo,photo_link,rent_1,deposit_1,rent_12,deposit_12,rent_24,deposit_24,rent_36,deposit_36,rent_48,deposit_48,rent_60,deposit_60
RP016,161호8421,현대,아반떼,아반떼 CN7 20~,가솔린 1.6 모던 26MY,"현대스마트센스,선루프",화이트,블랙,,350,가솔린,,출고가능,신차렌트,,25050000,260316,-,https://drive.google.com/drive/folders/1GDHvdlr5dfEx6a2AMBY33GrffnjmsA2O?usp=drive_link,,,,,,500000,,500000,600000,500000,,500000
RP016,161호8422,현대,아반떼,아반떼 CN7 20~,가솔린 1.6 모던 26MY,"현대스마트센스,선루프",화이트,블랙,,350,가솔린,,출고가능,신차렌트,,25050000,260316,-,https://drive.google.com/drive/folders/1FHpBDPhT23kqzzXhzwztzc7Ise0dEOsS?usp=drive_link,,,,,,500000,,500000,600000,500000,,500000
RP017,133하4268,르노,아르카나,아르카나 LJB 24~,1.6 GTe iconic 26MY,"카멜브라운인조가죽패키지, 360도 어라운드뷰 모니터",그레이,브라운,,3100,가솔린,,출고가능,중고렌트,,28340000,250602,면책금 접수건당 발생 / 12개월이하 대물2천,https://drive.google.com/drive/folders/18Ybm-P5312_fTeczyN573thXaPJdw4X2?usp=drive_link,,300000,670000,300000,,600000,,600000,620000,600000,,600000
RP017,133하4265,르노,아르카나,아르카나 LJB 24~,1.6 GTe iconic 26MY,"카멜브라운인조가죽패키지, 360도 어라운드뷰 모니터",그레이,브라운,,11000,가솔린,,출고가능,중고렌트,,28340000,250602,면책금 접수건당 발생 / 12개월이하 대물2천,https://drive.google.com/drive/folders/18Ybm-P5312_fTeczyN573thXaPJdw4X2?usp=drive_link,,300000,650000,300000,,600000,,600000,600000,600000,,600000
RP017,133하4275,르노,아르카나,아르카나 LJB 24~,1.6 GTe iconic 26MY,"카멜브라운인조가죽패키지, 360도 어라운드뷰 모니터",화이트,브라운,,12000,가솔린,,출고가능,중고렌트,,28340000,250602,면책금 접수건당 발생 / 12개월이하 대물2천,https://drive.google.com/drive/folders/18Ybm-P5312_fTeczyN573thXaPJdw4X2?usp=drive_link,,300000,650000,300000,,600000,,600000,600000,600000,,600000
RP017,133하4278,르노,아르카나,아르카나 LJB 24~,1.6 GTe iconic 26MY,"카멜브라운인조가죽패키지, 360도 어라운드뷰 모니터",화이트,브라운,,18000,가솔린,,출고가능,중고렌트,,28340000,250602,면책금 접수건당 발생 / 12개월이하 대물2천,https://drive.google.com/drive/folders/18Ybm-P5312_fTeczyN573thXaPJdw4X2?usp=drive_link,,300000,650000,300000,,600000,,600000,600000,600000,,600000
RP017,133하4286,기아,모닝,더 뉴 기아 모닝 JA (페리2) 23~,1.0 프레스티지,"컨비니언스, 8인치내비게이션",화이트,블랙,,3900,가솔린,,출고가능,중고렌트,,16600000,250930,면책금 접수건당 발생 / 12개월이하 대물2천,https://drive.google.com/drive/folders/1IOTIVXdOs-pT82hqruqmC-te0cBKPbKN?usp=drive_link,,300000,490000,300000,470000,500000,,500000,,500000,,500000
RP005,125호5190,현대,그랜저,그랜저 GN7 22~,2.5T 프리미엄 2WD,파노라마 선루프,화이트,화이트,,89000,가솔린,,출고가능,중고렌트,,,23년5월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1LpoV8pthMLKXmFZ-bA8sA-AnKbPvZi4z?usp=drive_link,,,1100000,,1050000,1500000,1000000,1500000,950000,1500000,900000,1500000
RP005,125호8942,현대,그랜저,그랜저 GN7 22~,3.5 LPI 2WD,현대스마트센스I,블랙,블랙,,35500,LPG,,출고가능,중고렌트,,,23년7월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,,,,,,950000,1500000,900000,1500000,850000,1500000,800000,1500000
RP005,125호8966,기아,모하비,모하비 3.0 4WD 6인승,디젤 6인승 3.0 4WD 마스터즈,"그레이내장+HUD,렉시콘팩,선루프",블랙,블랙,,29500,디젤,,출고가능,중고렌트,,,230919,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/open?id=1slEFcgqq3xIMiEFGS3gQAeDo8Rb_eNG9&usp=drive_fs,,,1500000,,1400000,3000000,1300000,3000000,1200000,3000000,1100000,3000000
